company_id,company_name,period,profitability_score,growth_score,cashflow_score,leverage_score,efficiency_score,overall_score,rating,remarks
ADANIPOWER,,Mar 2016,57.38,,,50.0,,54.92,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPOWER,,Mar 2017,0.0,,,50.0,,16.67,Distressed,Poor profitability with significant losses and negative returns; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPOWER,,Mar 2018,0.0,,,50.0,,16.67,Distressed,Poor profitability with significant losses and negative returns; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPOWER,,Mar 2019,37.24,,,50.0,,41.49,Weak,Weak profitability with declining margins; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPOWER,,Mar 2020,14.9,,,50.0,,26.6,Distressed,Poor profitability with significant losses and negative returns; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPOWER,,Mar 2021,59.69,,,60.0,,59.79,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIPOWER,,Mar 2022,76.61,,,60.0,,71.07,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPOWER,,Mar 2023,85.91,,,70.0,,80.61,Strong,Strong profitability with excellent margins and returns on capital; Manageable debt levels with adequate interest coverage
ADANIPOWER,,Mar 2024,98.28,,,85.0,,93.85,Excellent,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2012,64.69,,,85.0,,71.46,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2013,63.51,,,85.0,,70.67,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2014,64.77,,,85.0,,71.51,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2015,57.87,,,85.0,,66.91,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2016,57.23,,,85.0,,66.49,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2017,59.41,,,85.0,,67.94,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2018,63.29,,,85.0,,70.53,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2019,61.56,,,85.0,,69.37,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2020,63.65,,,85.0,,70.77,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Dec 2021,64.64,,,85.0,,71.43,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AMBUJACEM,,Mar 2024,61.43,,,85.0,,69.29,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2013,61.03,,,85.0,,69.02,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2014,60.58,,,85.0,,68.72,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2015,60.56,,,85.0,,68.71,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2016,57.05,,,85.0,,66.37,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2017,53.95,,,85.0,,64.3,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2018,51.85,,,70.0,,57.9,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
APOLLOHOSP,,Mar 2019,56.0,,,70.0,,60.67,Healthy,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
APOLLOHOSP,,Mar 2020,62.93,,,70.0,,65.29,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
APOLLOHOSP,,Mar 2021,52.98,,,85.0,,63.65,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2022,69.7,,,85.0,,74.8,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2023,63.62,,,85.0,,70.75,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
APOLLOHOSP,,Mar 2024,63.48,,,85.0,,70.65,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2013,84.28,,,85.0,,84.52,Strong,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2014,81.27,,,85.0,,82.51,Strong,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2015,80.09,,,85.0,,81.73,Strong,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2016,77.63,,,85.0,,80.09,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2017,76.51,,,85.0,,79.34,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2018,74.95,,,85.0,,78.3,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2019,73.31,,,85.0,,77.21,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2020,77.38,,,85.0,,79.92,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2021,75.04,,,85.0,,78.36,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2022,72.34,,,85.0,,76.56,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2023,76.23,,,85.0,,79.15,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ASIANPAINT,,Mar 2024,79.68,,,85.0,,81.45,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
AXISBANK,,Mar 2013,65.62,,,50.0,,60.41,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2014,66.19,,,50.0,,60.79,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2015,66.37,,,50.0,,60.91,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2016,65.36,,,50.0,,60.24,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2017,56.53,,,50.0,,54.35,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2018,50.43,,,50.0,,50.29,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2019,56.9,,,50.0,,54.6,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2020,51.88,,,50.0,,51.25,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2021,56.36,,,50.0,,54.24,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2022,61.01,,,50.0,,57.34,Moderate,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2023,57.38,,,50.0,,54.92,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
AXISBANK,,Mar 2024,65.83,,,50.0,,60.55,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BAJAJAUTO,,Mar 2013,88.85,,,85.0,,87.57,Strong,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2014,83.24,,,85.0,,83.83,Strong,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2015,77.27,,,85.0,,79.85,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2016,78.97,,,85.0,,80.98,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2017,72.84,,,85.0,,76.89,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2018,70.66,,,85.0,,75.44,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2019,71.21,,,85.0,,75.81,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2020,74.06,,,85.0,,77.71,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2021,67.81,,,85.0,,73.54,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2022,70.65,,,85.0,,75.43,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2023,70.64,,,85.0,,75.43,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJAUTO,,Mar 2024,76.61,,,85.0,,79.41,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJFINSV,,Mar 2013,78.38,,,70.0,,75.59,Strong,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2014,73.53,,,60.0,,69.02,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2015,71.72,,,60.0,,67.81,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2016,70.41,,,60.0,,66.94,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2017,71.36,,,60.0,,67.57,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2018,70.39,,,60.0,,66.93,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2019,72.64,,,60.0,,68.43,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2020,69.15,,,60.0,,66.1,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2021,70.56,,,60.0,,67.04,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2022,70.66,,,60.0,,67.11,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2023,76.31,,,60.0,,70.87,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJFINSV,,Mar 2024,75.85,,,60.0,,70.57,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJAJHLDNG,,Mar 2013,67.94,,,90.0,,75.29,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2014,66.57,,,90.0,,74.38,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2015,65.15,,,90.0,,73.43,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2016,64.81,,,90.0,,73.21,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2017,63.88,,,90.0,,72.59,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2018,60.54,,,90.0,,70.36,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2019,61.31,,,90.0,,70.87,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2020,61.09,,,85.0,,69.06,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2021,59.83,,,85.0,,68.22,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2022,59.63,,,85.0,,68.09,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2023,61.19,,,85.0,,69.13,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJAJHLDNG,,Mar 2024,63.58,,,85.0,,70.72,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
BAJFINANCE,,Mar 2015,68.71,,,50.0,,62.47,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BAJFINANCE,,Mar 2016,67.22,,,60.0,,64.81,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJFINANCE,,Mar 2017,69.13,,,50.0,,62.75,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BAJFINANCE,,Mar 2018,65.75,,,60.0,,63.83,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJFINANCE,,Mar 2019,70.28,,,50.0,,63.52,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BAJFINANCE,,Mar 2020,66.28,,,60.0,,64.19,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJFINANCE,,Mar 2021,61.97,,,60.0,,61.31,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJFINANCE,,Mar 2022,66.08,,,60.0,,64.05,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJFINANCE,,Mar 2023,71.17,,,60.0,,67.45,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BAJFINANCE,,Mar 2024,68.84,,,60.0,,65.89,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BANKBARODA,,Mar 2013,64.51,,,50.0,,59.67,Moderate,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2014,63.31,,,50.0,,58.87,Moderate,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2015,59.4,,,50.0,,56.27,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2016,38.16,,,50.0,,42.11,Weak,Weak profitability with declining margins; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2017,54.31,,,50.0,,52.87,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2018,46.06,,,50.0,,47.37,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2019,52.12,,,50.0,,51.41,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2020,51.29,,,50.0,,50.86,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2021,51.97,,,50.0,,51.31,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2022,58.64,,,50.0,,55.76,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2023,64.28,,,50.0,,59.52,Moderate,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BANKBARODA,,Mar 2024,65.76,,,50.0,,60.51,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
BEL,,Mar 2013,100.0,,,60.0,,86.67,Strong,Strong profitability with excellent margins and returns on capital; Manageable debt levels with adequate interest coverage
BEL,,Mar 2014,100.0,,,60.0,,86.67,Strong,Strong profitability with excellent margins and returns on capital; Manageable debt levels with adequate interest coverage
BEL,,Mar 2015,100.0,,,60.0,,86.67,Strong,Strong profitability with excellent margins and returns on capital; Manageable debt levels with adequate interest coverage
BEL,,Mar 2016,100.0,,,60.0,,86.67,Strong,Strong profitability with excellent margins and returns on capital; Manageable debt levels with adequate interest coverage
BEL,,Mar 2017,100.0,,,70.0,,90.0,Excellent,Strong profitability with excellent margins and returns on capital; Manageable debt levels with adequate interest coverage
BEL,,Mar 2018,100.0,,,70.0,,90.0,Excellent,Strong profitability with excellent margins and returns on capital; Manageable debt levels with adequate interest coverage
BEL,,Mar 2019,100.0,,,85.0,,95.0,Excellent,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BEL,,Mar 2020,100.0,,,85.0,,95.0,Excellent,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BEL,,Mar 2021,100.0,,,85.0,,95.0,Excellent,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BEL,,Mar 2022,100.0,,,85.0,,95.0,Excellent,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BEL,,Mar 2023,100.0,,,85.0,,95.0,Excellent,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BEL,,Mar 2024,100.0,,,85.0,,95.0,Excellent,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
BHARTIARTL,,Mar 2013,54.5,,,70.0,,59.67,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
BHARTIARTL,,Mar 2014,55.05,,,70.0,,60.03,Healthy,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
BHARTIARTL,,Mar 2015,62.69,,,60.0,,61.79,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BHARTIARTL,,Mar 2016,60.32,,,70.0,,63.55,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
BHARTIARTL,,Mar 2017,56.29,,,70.0,,60.86,Healthy,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
